name,location,joinedGroupOn,lastVisitedGroupOn,lastAttended,totalRSVPs,RSVPedYes,RSVPedMaybe,RSVPedNo,meetupsAttended,noShows,intro,photo,assistantOrganizer,mailingList,whatIsYourOccupationTradeProfession,whatAreYourHobbiesInterests
Member24,London,"June 25, 2019","August 30, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Major Infrastructure Project Management and Financing,
Member25,London,"May 5, 2019","December 4, 2021",,1,1,0,0,0,0,No,Yes,No,Yes,un,
Member26,London,"April 21, 2019","May 9, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,CEO tech startup,
Member27,St Albans,"January 19, 2021","October 3, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Fleet Manager,"Hiking, Foodie, Travel, Badminton, Adventure"
Member28,London,"October 14, 2018","October 15, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Software Engineer,
Member29,London,"November 26, 2019","January 30, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,PhD student,Reading. fitness
Member30,London,"November 18, 2019","January 27, 2020",,1,1,0,0,0,1,No,No,No,Yes,Managing Director,Swimming
Member31,Greater London,"September 24, 2019","June 12, 2021",,0,0,0,0,0,0,No,No,No,Yes,It trainer,
Member32,London,"November 21, 2019","April 28, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,data science consultant,"reading, socialising, music"
Member33,London,"May 10, 2018","May 13, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Data analyst,
Member34,London,"April 10, 2019","September 15, 2019","April 19, 2019",1,1,0,0,1,0,No,Yes,No,Yes,Consultant,
Member35,London,"September 13, 2019","February 16, 2020",,0,0,0,0,0,0,No,No,No,Yes,Homemaker,
Member36,London,"June 8, 2019","January 18, 2020","August 24, 2019",4,2,0,2,1,0,No,No,No,Yes,Med secretary,
Member37,London,"July 17, 2020","July 17, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Software engineer,Football
Member38,London,"January 17, 2020","January 17, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,I teach Arabic,Music; football; books; wildlife
Member39,London,"August 27, 2020","August 27, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Accountant,"Travel, hiking, windsurfing"
Member40,London,"May 27, 2019","December 12, 2021","September 4, 2020",4,1,0,3,1,0,No,Yes,No,Yes,Project manager,
Member41,London,"November 28, 2019","November 28, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Research,"Reading, Travelling"
Member42,"Toronto, ON","September 15, 2019","May 26, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Student,
Member43,Brentford,"September 30, 2018","April 4, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,engineer,
Member44,London,"April 1, 2019","August 27, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Architectural Technologist,
Member45,Hounslow,"September 19, 2020","October 8, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Administrator,"Shopping, holidays , going to gym,"
Member46,London,"June 18, 2019","May 22, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Analyst,
Member47,Reading,"April 6, 2020","April 6, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,MSc Marketing Student Cass,Discovery
Member48,London,"August 1, 2021","August 1, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Analysts,Any
Member49,London,"June 10, 2018","June 10, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,journalist,
Member50,Ilford,"January 20, 2020","February 5, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,teacher,"food, travel and photography"
Member51,London,"November 30, 2019","October 28, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,IT,"Sports, art, travel"
Member52,London,"April 21, 2019","December 27, 2019",,0,0,0,0,0,0,No,No,No,Yes,Solicitor,
Member53,London,"September 11, 2018","June 13, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Aupair girl,
Member54,London,"November 23, 2019","January 25, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Journalist,"Reading, writing, movies, travelling, shopping"
Member55,London,"July 15, 2019","January 24, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,psychological therapist,
Member56,London,"October 21, 2018","May 1, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Doctor,
Member57,London,"May 10, 2018","August 31, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,university,
Member58,London,"May 10, 2018","December 13, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Admin,
Member59,London,"March 31, 2019","April 22, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Consultant,
Member60,London,"August 22, 2020","August 22, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,learn English,football
Member61,London,"November 29, 2019","August 16, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,engineer,baking and athletics
Member62,London,"June 18, 2018","September 2, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Healthcare,
Member63,London,"September 3, 2020","September 3, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,engineer,"tennis, voleyball, art"
Member64,London,"December 22, 2019","December 6, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,IT,"yoga , cycling"
Member65,London,"June 22, 2021","August 31, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,student,music art
Member66,"London, ON","December 9, 2021","December 7, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Banker,Reading books
Member67,Wembley,"August 20, 2019","August 26, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Marketing assistant,
Member68,Glasgow,"September 30, 2018","July 14, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,I work in Finance,
Member69,London,"August 29, 2019","November 25, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,legal,
Member70,London,"September 28, 2019","October 2, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Pm,None
Member71,London,"March 31, 2019","July 15, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Legal,
Member72,London,"May 13, 2018","October 20, 2019",,0,0,0,0,0,0,No,No,No,Yes,Manager,
Member73,London,"January 15, 2019","October 30, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Architect,
Member74,Woodford,"June 13, 2019","October 18, 2019",,1,0,0,1,0,0,No,Yes,No,Yes,Capital management,
Member75,London,"May 7, 2018","December 13, 2021","December 11, 2021",91,88,0,3,43,0,No,Yes,Yes,Yes,Digital Marketing,
Member76,London,"April 17, 2019","April 17, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,HR manager,
Member77,London,"July 29, 2018","May 28, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Director,
Member78,Harrow,"February 7, 2020","February 14, 2020",,1,0,0,1,0,0,No,Yes,No,Yes,Enterprise Architect,"Travelling, Films, etc"
Member79,London,"May 9, 2018","July 12, 2019",,0,0,0,0,0,0,No,No,No,Yes,researcher - documentary,
Member80,London,"May 18, 2018","August 31, 2019",,2,2,0,0,0,0,No,Yes,No,Yes,Web C.R.O.,
Member81,London,"September 26, 2021","September 27, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Audit/Accounting,"Tennis, video games, hikes, walks, cycling, learning new things"
Member82,London,"October 8, 2019","September 3, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,NHS,Socialising
Member83,London,"June 16, 2019","November 2, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Doctor,
Member84,London,"September 15, 2019","June 28, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Data / Charity,
Member85,London,"September 18, 2021","December 14, 2021",,2,1,0,1,0,0,No,Yes,No,Yes,Accountant,"Exploring new places, reading, fitness, anime"
Member86,Hounslow,"February 23, 2019","February 3, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Student,
Member87,London,"August 6, 2019","August 18, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,head of year at a secondary school,
Member88,London,"November 19, 2019","May 30, 2021",,0,0,0,0,0,0,No,No,No,Yes,Speech therapist,"Reading, learning language, mental healthy, etc"
Member89,London,"June 19, 2021","June 19, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Civil servant,"Islam, politics, world affairs"
Member90,Roehampton,"June 8, 2019","June 8, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Auditor/Finance,
Member91,Mitcham,"August 3, 2018","September 2, 2019","September 29, 2018",3,3,0,0,1,1,No,Yes,No,Yes,Software Quality Assurer,
Member92,London,"October 24, 2020","December 9, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Journalist,Writing
Member93,London,"March 31, 2019","August 30, 2019","August 31, 2019",1,1,0,0,1,0,No,Yes,No,Yes,Chartered Surveyor,
Member94,Ilford,"May 20, 2018","June 19, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Architecture,
Member95,London,"June 19, 2018","October 6, 2021","October 12, 2019",1,1,0,0,1,0,No,Yes,No,Yes,Data analyst,
Member96,Greater London,"July 17, 2021","December 8, 2021","December 11, 2021",11,10,0,1,8,1,No,Yes,No,Yes,Engineer/research/predictive analytics /website,Tennis Anime
Member97,London,"September 15, 2019","October 29, 2019",,0,0,0,0,0,0,No,No,No,Yes,IT,
Member98,London,"August 6, 2021","August 1, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,teacher,walking theatre eating out
Member99,Paris,"December 14, 2018","December 12, 2018",,0,0,0,0,0,0,No,No,No,Yes,student,
Member100,Lille,"February 23, 2019","February 18, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,student,
Member101,London,"June 14, 2018","March 13, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Publishing,
Member102,London,"July 26, 2019","September 28, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Data Analyst,
Member103,London,"May 10, 2018","July 2, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Dustbin Man,
Member104,Sutton,"October 24, 2019","July 28, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Account assistant,Food
Member105,London,"September 21, 2019","September 17, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Lawyer,
Member106,London,"July 16, 2018","July 16, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Student,
Member107,"Fargo, ND","April 22, 2019","April 22, 2021",,2,1,0,1,0,1,No,Yes,No,Yes,project manager,
Member108,London,"May 14, 2021","May 14, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Civil service,"Travel, books, Islam, beauty, fashion, self improvement, gaming"
Member109,Ilford,"June 16, 2019","June 19, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,lawyer,
Member110,London,"August 15, 2019","May 10, 2021","August 18, 2019",1,1,0,0,1,0,No,No,No,Yes,Pre-registration Pharmacist,
Member111,London,"November 27, 2019","May 8, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Client Relations Professional,"Languages, yoga, cooking, dancing"
Member112,London,"November 30, 2019","July 18, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Travel professional,Learning Arabic and Islam
Member113,Melbourne,"September 21, 2020","February 27, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,IT Security,"Anything active - skiing, swimming, running."
Member114,Riyadh,"July 6, 2019","July 6, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Medical Doctor,
Member115,Fort William,"September 15, 2019","April 3, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Student,
Member116,London,"March 31, 2019","March 9, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Lawyer,
Member117,Gillingham,"January 28, 2020","November 15, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Translation,"Food, music, travel, sport, meeting people"
Member118,Croydon,"May 6, 2019","November 22, 2019",,0,0,0,0,0,0,No,No,No,Yes,IT,
Member119,London,"January 26, 2020","July 15, 2020",,0,0,0,0,0,0,No,No,No,Yes,Community Organiser (campaigning),"Travelling, reading, eating, learning"
Member120,London,"September 15, 2019","April 23, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,student,
Member121,London,"April 18, 2019","August 8, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Engineer,
Member122,London,"November 26, 2021","November 26, 2021",,0,0,0,0,0,0,No,No,No,Yes,Research Scientist,Sci + Tech
Member123,London,"June 4, 2018","February 14, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Consultant,
Member124,London,"February 12, 2020","May 29, 2021",,2,2,0,0,0,1,No,Yes,No,Yes,IT,"culture, sport, socialising"
Member125,"New York, NY","November 24, 2019","November 24, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Student,Learn new language
Member126,London,"December 14, 2018","December 5, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Programmer,
Member127,London,"March 31, 2019","March 8, 2019",,0,0,0,0,0,0,No,No,No,Yes,Bachelor Engineer,
Member128,Clacton-on-Sea,"July 19, 2021","August 1, 2021",,1,1,0,0,0,1,No,Yes,No,Yes,Teacher,Everything by
Member129,Paddington,"September 27, 2019","March 1, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Librarian/archivist,"Art, history, reading, religion, Muay Thai, meditation, travelling"
Member130,Romford,"April 30, 2021","June 18, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,I'm a healthcare worker,"walking, cycling, exploring the outdoors, swimming, cinema, Comedy nights"
Member131,London,"April 2, 2019","December 9, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Associate (Investor Relations),
Member132,Wembley,"August 28, 2021","August 29, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,poet,existentialism
Member133,Stratford,"May 11, 2018","December 14, 2021","September 6, 2049",65,55,0,10,34,0,Yes,Yes,No,Yes,IT solutions,"History, foreign languages"
Member134,Twickenham,"June 23, 2019","July 6, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Insolvency administrator,
Member135,London,"August 26, 2020","October 17, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Project Manager,Photography
Member136,Beggarwood,"June 23, 2019","June 1, 2020",,0,0,0,0,0,0,No,No,No,Yes,Dentist,
Member137,Barking,"May 27, 2018","May 27, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,admin,
Member138,Istanbul,"March 31, 2019","December 29, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Student (PhD),
Member139,London,"May 31, 2021","June 11, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Office,"Culture, travel"
Member140,London,"August 21, 2019","November 22, 2019","February 15, 2020",3,3,0,0,2,0,No,Yes,No,Yes,Engineer,
Member141,London,"May 8, 2018","August 13, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Data scientist,
Member142,London,"September 10, 2018","August 29, 2018",,0,0,0,0,0,0,No,No,No,Yes,student,
Member143,London,"July 27, 2019","July 28, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Software Developer,
Member144,London,"July 3, 2021","December 8, 2021",,2,2,0,0,0,1,No,Yes,No,Yes,project manager,"cycling, motorbike riding, reading, football"
Member145,Romford,"February 23, 2019","November 2, 2019",,1,0,0,1,0,0,No,Yes,No,Yes,financial accountant,
Member146,London,"December 28, 2019","November 10, 2021","December 11, 2021",4,1,0,3,1,0,No,Yes,No,Yes,Educational Enterprise department,"spirituality, languages, culture, travelling, people"
Member147,Ilford,"May 13, 2018","August 14, 2021",,1,0,0,1,0,0,No,Yes,No,Yes,technology consultant,
Member148,London,"September 10, 2019","September 10, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,psychology,
Member149,London,"November 5, 2019","November 5, 2019",,0,0,0,0,0,0,No,No,No,Yes,Sales IT,Travel cook fashion
Member150,Aubagne,"January 19, 2021","January 8, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Project manager,"cooking, astronomy, photography"
Member151,London,"July 17, 2019","February 17, 2020",,1,0,0,1,0,0,No,Yes,No,Yes,Genetics,
Member152,London,"September 27, 2019","November 25, 2021",,1,1,0,0,0,0,No,No,No,Yes,Digital Transformation,"Travelling, Fitness, Technology"
Member153,London,"August 7, 2019","August 21, 2021",,1,0,0,1,0,0,No,Yes,No,Yes,Cancer Researcher,
Member154,London,"July 29, 2018","August 7, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Engineer,
Member155,London,"August 30, 2018","August 31, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,dental student,
Member156,High Wycombe,"March 31, 2019","August 28, 2021",,4,1,0,3,0,0,No,No,No,Yes,dental nurse,
Member157,London,"September 15, 2018","April 20, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,lawyer,
Member158,London,"June 8, 2018","October 2, 2020",,1,1,0,0,0,0,No,Yes,No,Yes,Design Panel Programme Manager,
Member159,London,"October 12, 2020","October 12, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Biomedical Scientist,"Theatre, traveling and dining out"
Member160,London,"August 21, 2020","August 21, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,accountant,reading/swimming/art
Member161,London,"March 31, 2019","November 8, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Consultant,
Member162,London,"May 9, 2019","May 24, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Legal,
Member163,London,"June 23, 2019","November 24, 2020",,3,0,0,3,0,0,No,Yes,No,Yes,Nursing,
Member164,London,"June 25, 2019","June 25, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Engineer,
Member165,London,"August 1, 2019","September 17, 2021",,1,0,0,1,0,0,No,Yes,No,Yes,Student,
Member166,London,"November 21, 2019","April 25, 2020","April 26, 2020",1,1,0,0,1,0,No,Yes,No,Yes,psychiatrist,"reading, eating, cooking and baking, seeing friends and family, holidays, staycations"
Member167,Ilford,"November 26, 2019","January 23, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Customer Support Officer,"Bollywood music, films, learning about new technologies"
Member168,Woodford Green,"September 15, 2019","August 5, 2020",,0,0,0,0,0,0,No,No,No,Yes,marketing and event planner,
Member169,City,"December 6, 2021","December 6, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,health,"hiking, socialising with similar mindset"
Member170,London,"June 27, 2019","June 27, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,civil servant,
Member171,London,"August 25, 2020","August 21, 2021","September 4, 2020",2,1,0,1,1,0,No,Yes,No,Yes,Civil Servant,"History, walking, nature, food."
Member172,London,"February 23, 2019","August 18, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Accountant,
Member173,London,"July 23, 2019","October 10, 2019","October 12, 2019",1,1,0,0,1,0,No,Yes,No,Yes,TV producer,
Member174,London,"August 17, 2019","August 31, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,student,
Member175,Glasgow,"December 16, 2020","December 16, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,IT Professional,I spend time in reading and learning about different beliefs around me
Member176,London,"November 25, 2021","November 26, 2021",,1,1,0,0,0,0,No,Yes,No,Yes,support worker and exam teacher,"eating out, cinema, Netflix"
Member177,London,"July 13, 2018","March 6, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Economist,
Member178,Reading,"July 5, 2019","June 4, 2021",,0,0,0,0,0,0,Yes,Yes,No,Yes,Marketing Manager,
Member179,Greater London,"September 2, 2020","September 2, 2020",,0,0,0,0,0,0,No,No,No,Yes,Retired,"Football, singing and travelling"
Member180,Mitcham,"December 10, 2021","December 10, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Medicine,"Trying new restaurants, visiting galleries and museums,"
Member181,London,"May 19, 2020","May 19, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Teacher,"Languages, cooking, martial arts"
Member182,Shepherds Bush,"October 12, 2021","October 8, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,DevOps / IT Engineer,"Gaming, Excercise, Trading, Travel, Food & Beer!"
Member183,Istanbul,"June 10, 2019","June 10, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Business,
Member184,London,"July 29, 2018","July 28, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Company director,
Member185,London,"August 23, 2019","December 9, 2021",,2,0,0,2,0,0,No,Yes,No,Yes,na,
Member186,Greater London,"May 5, 2019","March 4, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Engineer,
Member187,London,"October 17, 2019","September 2, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Sales assistant,"Playing oud instrument, music, books, cinema, restaurant, travel"
Member188,London,"July 8, 2018","September 14, 2019",,0,0,0,0,0,0,No,No,No,Yes,Brand Manager,
Member189,London,"September 23, 2021","September 23, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,radiographer,gaming anime and movies for the most part
Member190,Windsor,"September 21, 2021","September 21, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,healthcare professional,"volleyball, languages and astronomy"
Member191,London,"July 22, 2021","September 10, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Lawyer,Food
Member192,London,"July 23, 2021","July 23, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Waitress,Learning more about islam
Member193,"New York, NY","April 30, 2019","April 30, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Student,
Member194,Greater London,"March 31, 2019","October 6, 2019",,0,0,0,0,0,0,No,No,No,Yes,Civil Engineer,
Member195,Dubai,"November 12, 2019","June 8, 2021",,1,0,0,1,0,0,No,Yes,No,Yes,consultant,gym
Member196,London,"August 24, 2019","December 6, 2021",,0,0,0,0,0,0,No,No,No,Yes,Digital,
Member197,London,"May 11, 2018","October 31, 2018",,1,0,0,1,0,0,No,No,No,Yes,Hr co ordinator,
Member198,London,"August 9, 2019","January 28, 2020","October 12, 2019",2,2,0,0,2,0,No,No,No,Yes,Professional - healthcare,
Member199,London,"June 9, 2019","June 11, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,marketing/property,
Member200,London,"October 20, 2019","October 20, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Sales Director,"Socialising, meeting new people"
Member201,Derby,"February 7, 2020","July 11, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Social worker,"Football, gym and walking"
Member202,"Rawalpindi, 04","July 27, 2021","August 5, 2021",,0,0,0,0,0,0,No,No,No,Yes,Marketing specialist/student,Travel
Member203,Basildon,"April 1, 2019","January 23, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Doctor,
Member204,London,"August 30, 2018","December 13, 2021",,5,0,0,5,0,0,No,Yes,No,Yes,Risk,
Member205,Riyadh,"October 12, 2021","October 5, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,,
Member206,London,"September 8, 2019","April 11, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Lawyer,
Member207,Woodford Green,"September 15, 2019","January 18, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Student,
Member208,Hersham,"September 15, 2019","September 15, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,self employed,
Member209,Greater London,"January 26, 2020","January 26, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,.,.
Member210,Mitcham Junction,"May 10, 2018","July 2, 2018",,0,0,0,0,0,0,No,No,No,Yes,Admin in the nhs,
Member211,London,"January 25, 2020","November 29, 2021",,1,0,0,1,0,0,No,Yes,No,Yes,legal,eating gym and boxing
Member212,London,"October 14, 2018","October 14, 2018",,0,0,0,0,0,0,No,No,No,Yes,Student,
Member213,Hounslow,"September 15, 2019","August 2, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Logistic,
Member214,Stourbridge,"January 3, 2020","January 3, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Nurse,Cooking and eating :)
Member215,London,"September 15, 2019","August 31, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Business Consultancy,
Member216,Doha,"May 9, 2018","March 31, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Teacher,
Member217,London,"May 26, 2019","October 15, 2021",,1,1,0,0,0,0,No,Yes,No,Yes,Masters graduate,
Member218,Pierrefitte-sur-Seine,"August 27, 2019","September 28, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,studient,
Member219,Riyadh,"March 31, 2019","June 11, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,teacher,
Member220,Harrow,"August 3, 2018","August 3, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Teacher,
Member221,London,"January 23, 2019","February 14, 2020",,1,1,0,0,0,0,No,Yes,No,Yes,BA,
Member222,London,"June 15, 2019","June 15, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Insurance,
Member223,West Drayton,"September 11, 2018","June 9, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Chartered Accountant,
Member224,London,"August 23, 2018","August 30, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Admissions Manager,
Member225,London,"June 8, 2019","January 8, 2020","June 15, 2019",1,1,0,0,1,0,No,Yes,No,Yes,commercial - accounting,
